
Host: camilladeMacBook-Pro-2.local

Timers On : Wed Jul 20 13:48:23 2022
Timers Off: Wed Jul 20 13:48:31 2022

Wall Time:        8.09 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.217u      0.000s      0.094w     24 calls
Libint2ERI::Libint2ERI              :      0.833u      0.050s      0.286w    288 calls
DFH: initialize()                   :      0.917u      0.067s      0.310w     24 calls
DFH: AO Construction                :      0.250u      0.017s      0.072w     24 calls
DFH: AO-Met. Contraction            :      0.083u      0.000s      0.026w     24 calls
HF: Form core H                     :      0.033u      0.000s      0.031w     24 calls
HF: Form S/X                        :      0.017u      0.000s      0.005w     24 calls
HF: Guess                           :      0.817u      0.050s      0.257w     24 calls
SAD Guess                           :      0.750u      0.050s      0.245w     21 calls
HF: Form G                          :      0.133u      0.000s      0.047w    208 calls
JK: D                               :      0.000u      0.000s      0.001w    208 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w    208 calls
JK: JK                              :      0.133u      0.000s      0.043w    208 calls
DFH: compute_JK()                   :      0.133u      0.000s      0.043w    208 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    208 calls
DFH: compute_J                      :      0.017u      0.000s      0.006w    208 calls
DFH: compute_K                      :      0.100u      0.000s      0.034w    208 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    208 calls
HF: Form F                          :      0.000u      0.000s      0.001w    208 calls
HF: Form D                          :      0.000u      0.000s      0.001w    208 calls
HF: DIIS                            :      0.333u      0.017s      0.100w    187 calls
DIISManager::add_entry              :      0.000u      0.017s      0.010w    184 calls
DIISManager::extrapolate            :      0.017u      0.000s      0.008w    184 calls
bMatrix setup                       :      0.000u      0.000s      0.003w    184 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.002w    184 calls
New vector                          :      0.017u      0.000s      0.002w    184 calls
HF: Form C                          :      0.167u      0.000s      0.042w    187 calls
Grad: V T Perturb                   :      1.467u      0.017s      0.476w     24 calls
Grad: S                             :      0.000u      0.000s      0.003w     24 calls
Grad: JK                            :      2.133u      0.117s      0.716w     24 calls
JKGrad: Amn                         :      0.567u      0.050s      0.188w     24 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w     24 calls
JKGrad: AB                          :      0.367u      0.033s      0.101w     24 calls
JKGrad: UV                          :      0.017u      0.000s      0.017w     24 calls
JKGrad: ABx                         :      0.067u      0.000s      0.037w     24 calls
JKGrad: Amnx                        :      0.950u      0.017s      0.297w     24 calls
Grad: XC                            :      0.000u      0.000s      0.000w     24 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.217u      0.000s      0.094w     24 calls
| Libint2ERI::Libint2ERI            :      0.150u      0.000s      0.066w     24 calls
DFH: initialize()                   :      0.917u      0.067s      0.310w     24 calls
| Libint2ERI::Libint2ERI            :      0.150u      0.017s      0.044w     72 calls
| DFH: AO Construction              :      0.250u      0.017s      0.072w     24 calls
| DFH: AO-Met. Contraction          :      0.083u      0.000s      0.026w     24 calls
HF: Form core H                     :      0.033u      0.000s      0.031w     24 calls
